anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Serbian Word
0,0,0,0,0,0,0,0,0,0,запањен
0,0,0,0,0,0,0,0,0,1,абакус
0,0,0,1,0,1,0,1,0,0,напустити
1,0,0,1,0,1,0,1,0,0,напуштен
1,0,0,1,0,1,0,1,1,0,напуштање
0,0,0,0,0,0,0,0,0,0,попустити
0,0,0,0,0,0,0,0,0,0,смањење
0,0,0,0,0,0,1,0,0,0,абба
0,0,0,0,0,0,0,0,0,1,игуман
0,0,0,0,0,0,0,0,0,0,скраћено
0,0,0,0,0,0,0,0,0,0,скраћеница
0,0,0,0,0,0,0,0,0,0,стомак
0,0,0,0,0,0,0,0,0,0,трбушни
0,0,0,1,0,1,0,1,1,0,отмица
0,0,0,0,0,1,0,0,0,0,аберантно
0,0,1,0,0,1,0,0,0,0,аберација
0,0,0,0,0,0,0,0,0,0,абеианце
1,0,1,1,0,1,0,0,0,0,гнушати се
1,0,1,1,0,1,0,0,0,0,одвратан
0,0,0,0,0,0,0,0,0,0,остати
0,0,0,0,0,0,1,0,0,0,способност
0,0,1,0,0,1,0,0,0,0,одвратан
0,0,0,0,0,0,0,0,0,0,аблација
0,0,0,0,0,0,0,0,0,0,у пламену
0,0,1,0,0,1,0,0,0,0,абнормално
0,0,0,0,0,0,0,0,0,0,на броду
0,0,0,0,0,0,0,0,0,0,пребивалиште
1,0,0,0,0,1,0,0,0,0,укинути
0,0,0,0,0,1,0,0,0,0,укидања
0,0,1,1,0,1,0,0,0,0,одвратан
1,0,1,1,0,1,0,0,0,0,одвратност
0,0,0,0,0,0,0,0,0,0,абориџина
0,0,0,0,0,1,0,0,0,0,прекид
0,0,1,1,0,1,0,1,0,0,абортус
0,0,0,0,0,1,0,1,0,0,абортивни
0,0,0,0,0,0,0,0,0,0,обилују
0,0,0,0,0,0,1,0,0,0,Горе поменути
0,0,0,0,0,1,0,0,0,0,абразија
0,0,0,0,0,0,0,0,0,0,иностранство
0,0,0,0,0,1,0,0,0,0,укинути
0,0,0,0,0,0,0,0,1,0,нагло
0,0,0,0,0,0,0,0,0,0,нагло
0,0,0,0,0,1,0,1,0,0,апсцес
0,0,0,1,0,1,0,1,0,0,одсуство
0,0,0,0,0,1,0,1,0,0,одсутан
0,0,0,0,0,1,0,1,0,0,одсутан
0,0,0,0,0,1,0,0,0,0,изостајање са посла
0,0,0,0,0,0,0,0,0,0,абсинт
0,0,0,0,0,0,1,0,0,0,апсолутна
0,0,0,0,1,0,1,0,0,1,опроштење
0,0,0,0,0,0,1,0,0,0,апсорбован
0,0,0,0,0,0,0,0,0,0,упијајуће
0,0,0,0,0,0,0,0,0,0,упијајући
0,0,0,0,0,0,0,0,0,0,апсорпција
0,0,0,0,0,0,0,0,0,0,уздржати се
0,0,0,0,0,0,0,0,0,0,уздржаност
0,0,0,0,0,0,0,0,0,0,уздржавање
0,0,0,0,0,0,0,0,0,0,апстрактан
0,0,0,0,0,0,0,0,0,0,одвајање
0,0,0,0,0,1,0,0,0,0,апсурдно
0,0,0,0,0,1,0,0,0,0,апсурда
0,1,1,0,1,1,1,0,0,1,заступљеност
0,0,0,0,1,0,1,0,0,0,обилно
1,0,1,1,0,1,0,1,0,0,злоупотреба
0,0,0,0,0,0,0,0,0,0,упориште
0,0,0,0,0,0,0,0,0,0,аби
0,0,0,0,0,1,0,1,0,0,бездан
0,0,0,1,0,1,0,1,0,0,бездан
0,0,0,0,0,0,1,0,0,1,академски
0,0,0,0,0,0,1,0,0,0,академија
0,0,0,0,0,0,0,0,0,0,аццеде
