anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Serbian Word
0,0,0,0,0,0,0,0,0,0,zapanjen
0,0,0,0,0,0,0,0,0,1,abakus
0,0,0,1,0,1,0,1,0,0,napustiti
1,0,0,1,0,1,0,1,0,0,napušten
1,0,0,1,0,1,0,1,1,0,napuštanje
0,0,0,0,0,0,0,0,0,0,popustiti
0,0,0,0,0,0,0,0,0,0,smanjenje
0,0,0,0,0,0,1,0,0,0,abba
0,0,0,0,0,0,0,0,0,1,iguman
0,0,0,0,0,0,0,0,0,0,skraćeno
0,0,0,0,0,0,0,0,0,0,skraćenica
0,0,0,0,0,0,0,0,0,0,stomak
0,0,0,0,0,0,0,0,0,0,trbušni
0,0,0,1,0,1,0,1,1,0,otmica
0,0,0,0,0,1,0,0,0,0,aberantno
0,0,1,0,0,1,0,0,0,0,aberacija
0,0,0,0,0,0,0,0,0,0,abeiance
1,0,1,1,0,1,0,0,0,0,gnušati se
1,0,1,1,0,1,0,0,0,0,odvratan
0,0,0,0,0,0,0,0,0,0,ostati
0,0,0,0,0,0,1,0,0,0,sposobnost
0,0,1,0,0,1,0,0,0,0,odvratan
0,0,0,0,0,0,0,0,0,0,ablacija
0,0,0,0,0,0,0,0,0,0,u plamenu
0,0,1,0,0,1,0,0,0,0,abnormalno
0,0,0,0,0,0,0,0,0,0,na brodu
0,0,0,0,0,0,0,0,0,0,prebivalište
1,0,0,0,0,1,0,0,0,0,ukinuti
0,0,0,0,0,1,0,0,0,0,ukidanja
0,0,1,1,0,1,0,0,0,0,odvratan
1,0,1,1,0,1,0,0,0,0,odvratnost
0,0,0,0,0,0,0,0,0,0,aboridžina
0,0,0,0,0,1,0,0,0,0,prekid
0,0,1,1,0,1,0,1,0,0,abortus
0,0,0,0,0,1,0,1,0,0,abortivni
0,0,0,0,0,0,0,0,0,0,obiluju
0,0,0,0,0,0,1,0,0,0,Gore pomenuti
0,0,0,0,0,1,0,0,0,0,abrazija
0,0,0,0,0,0,0,0,0,0,inostranstvo
0,0,0,0,0,1,0,0,0,0,ukinuti
