speaker,speech_len
STOJAN RADENOVIĆ,6257
MARINIKA TEPIĆ,45
STOJAN RADENOVIĆ,122
MIROSLAV ALEKSIĆ,227
STOJAN RADENOVIĆ,23
MIROSLAV ALEKSIĆ,51
STOJAN RADENOVIĆ,12
MIROSLAV ALEKSIĆ,686
STOJAN RADENOVIĆ,428
VLADIMIR ORLIĆ,213
ALEKSANDAR JOVANOVIĆ,16
VLADIMIR ORLIĆ,912
STOJAN RADENOVIĆ,29
MILENKO JOVANOV,616
STOJAN RADENOVIĆ,673
MILENKO JOVANOV,770
MILENKO JOVANOV,10096
ALEKSANDAR JOVANOVIĆ,43
MILENKO JOVANOV,2812
ALEKSANDAR JOVANOVIĆ,66
MILENKO JOVANOV,203
ALEKSANDAR JOVANOVIĆ,17
MILENKO JOVANOV,1822
ALEKSANDAR JOVANOVIĆ,12
MILENKO JOVANOV,7014
BORISLAV NOVAKOVIĆ,127
MILENKO JOVANOV,81
STOJAN RADENOVIĆ,84
MILENKO JOVANOV,4388
STOJAN RADENOVIĆ,6
BORISLAV NOVAKOVIĆ,8
STOJAN RADENOVIĆ,21
BORISLAV NOVAKOVIĆ,29
STOJAN RADENOVIĆ,400
ALEKSANDAR JOVANOVIĆ,6651
STOJAN RADENOVIĆ,20
BORISLAV NOVAKOVIĆ,77
STOJAN RADENOVIĆ,54
GORAN RAKIĆ,1744
STOJAN RADENOVIĆ,38
BORISLAV NOVAKOVIĆ,8
VLADIMIR ORLIĆ,2332
STOJAN RADENOVIĆ,29
BORISLAV NOVAKOVIĆ,42
ANA BRNABIĆ,445
BORISLAV NOVAKOVIĆ,44
STOJAN RADENOVIĆ,121
ANA BRNABIĆ,128
BORISLAV NOVAKOVIĆ,17
STOJAN RADENOVIĆ,50
ANA BRNABIĆ,130
BORISLAV NOVAKOVIĆ,22
STOJAN RADENOVIĆ,75
ANA BRNABIĆ,1145
BORISLAV NOVAKOVIĆ,8
MARINIKA TEPIĆ,10
STOJAN RADENOVIĆ,114
MARIJAN RISTIČEVIĆ,7294
BORISLAV NOVAKOVIĆ,8
STOJAN RADENOVIĆ,236
MARINIKA TEPIĆ,1536
STOJAN RADENOVIĆ,19
MARINIKA TEPIĆ,215
STOJAN RADENOVIĆ,17
MARINIKA TEPIĆ,64
STOJAN RADENOVIĆ,383
VLADIMIR ORLIĆ,1301
STOJAN RADENOVIĆ,45
MILENKO JOVANOV,2706
SLAVICA RADOVANOVIĆ,17
MILENKO JOVANOV,346
SLAVICA RADOVANOVIĆ,40
MILENKO JOVANOV,240
