word,frequency
poštovati,2044
dama,322
gospodo,843
narodni,8778
poslanik,6285
nastavljati,302
sednica,1262
skupština,4243
republika,3647
srbija,13004
četrnaest,36
saziv,174
pozivati,498
minuti,7
ćutanje,18
odati,23
pošta,13
stradal,3
martovski,10
pogroma,6
2004.,106
godina,7686
kosovo,1056
metohija,308
večan,10
slav,17
slava,17
osnov,657
sluzben,47
evidencija,76
prisutnost,34
konstativati,135
prisustvovati,183
podsećati,150
član,3966
stav,808
poslovnik,1420
predvideti,246
kvorum,52
postojati,1554
prisutan,494
ukupan,233
raditi,4136
utvrđivanje,108
sala,519
moliti,1683
ubati,28
identifikacioni,43
kartica,95
poslanički,1699
jedinica,202
elektronski,162
sistem,864
glasanje,3139
konstatovati,1043
primena,240
utvrditi,281
odnosno,1536
uslov,787
smisao,493
davati,430
obaveštenje,45
odsutnost,7
obaveštavati,64
sprečiti,192
sledeći,574
radomir,85
lazović,161
ivanović,99
siniša,177
ljepojević,10
dragan,615
stanojević,38
jovan,48
janjić,70
mitar,28
kovač,59
obrazovanje,689
grupa,1888
saglasno,147
obrazovati,74
aleksanda,11
vučić,1613
stati,316
predsednik,2315
odrediti,95
milenko,261
jovanov,432
njegov,901
zamenik,93
marino,51
raguš,77
ujedinjeni,2
sindikat,121
sloga,33
marinika,105
tepić,138
pavla,22
grbović,24
pokret,563
srbije,89
novo,4
lice,755
miroslav,132
aleksić,225
borislav,89
novaković,198
ivica,96
dačić,152
socijalistički,48
partija,273
snežan,108
paunović,91
novi,5
poks,40
nada,92
miloš,295
jovanović,456
vojislav,67
mihailović,18
zeleno,4
levi,14
front,218
davimo,6
beograd,1279
biljana,88
đorđević,111
centar,550
srce,121
zdravko,74
ponoš,106
stefan,95
drrokdamal,2
saraje,13
zoran,229
lutovac,129
rakić,166
glas,592
naroda,7
branko,116
pavlović,106
pups,45
solidarnost,48
pravda,297
krkobabić,36
hadži,10
milorad,35
stošić,18
savez,104
vojvođanskih,1
mađara,1
balin,1
pastor,53
boris,56
bajić,28
socijaldemokratski,27
branimir,31
muamer,17
bačevac,16
prof.,252
nestorović,130
lukić,40
jelena,146
marković,235
palm,59
jeoinstv,1
život,868
starčević,42
ekološki,356
ustanak,87
aleksandar,800
danijel,83
ps-nss-uss-rs,1
đorđe,168
komlenski,43
marijan,121
rističević,158
ticati,1101
poslan,2
dnevni,1137
prelaziti,290
tačka,808
važan,1781
nastavak,129
izbor,2047
preći,190
slediti,81
zamoliti,155
obzir,629
opcija,67
pripadati,190
potruditi,43
diskusija,176
razmatranje,49
koristiti,717
činjenica,680
popraviti,69
utisak,87
rano,206
možda,988
steknuti,1
građanin,4748
misliti,1995
opšte,62
zadovoljstvo,80
jednostavno,230
rasprava,553
doprineti,133
povećati,282
ugled,51
dobro,1658
glavni,195
sklad,379
primiti,245
predlog,2770
kandidat,338
dostaviti,85
videti,2144
predložiti,487
brnabić,937
izabrati,230
izborni,595
lista,337
ideti,290
daleko,1368
predstavnik,723
predlagač,177
obrazložiti,56
želeti,2776
kazati,4838
uslišiti,1
molba,31
međutim,301
obrazloženje,132
hteti,12563
imati,10284
velik,3392
težina,30
čuti,1535
sačuvati,173
prihvatiti,1481
prvo,310
reč.,46
dati,1637
morati,3060
govoriti,3634
uglas,2
nemati,3506
svrha,66
reći,3457
gospodin,1180
predsedavati,168
ukazati,175
povreda,421
dužan,157
današnji,281
držiti,79
slobodan,514
volja,231
dokument,341
uređivati,44
pitanje,2940
ukazivati,133
101.,9
veza,640
obrazložit,1
obavestiti,114
uredno,20
mart,215
prekinuti,97
11.00,4
gospodina,1181
21.00,1
uveče,19
nedelja,227
poslati,115
ujutru,30
država,3090
uzurpator,5
narod,1975
legitimitet,78
najaviti,87
parlament,680
zalageti,22
trebati,3545
dostojanstven,33
pravi,263
predstavnički,18
ponašati,238
slušati,557
slageti,25
nemovtiti,415
ostaviti,283
pred,605
čekati,230
izjasniti,366
povrediti,186
zapisati,25
izjašnjavati,26
vladimir,138
orlić,94
isto,553
hvati,3221
vreme,2502
uloga,158
103.,76
predviđati,121
mogućnost,439
sankcionisati,19
nadoručkovati,1
kruševački,2
rubina,4
čast,180
strana,1397
kroz,710
pozvati,182
obratiti,241
pažnja,290
početi,422
zaboraviti,234
briga,329
iskoristiti,305
javljanje,12
obrušiti,8
aleksandra,485
pokazati,759
stradati,67
srbin,665
aljbin,64
kurti,131
siguran,497
viola,13
kramon,21
šider,15
šeneh,4
ceniti,30
odluka,858
predlažiti,98
radenović,38
podseta,1
visok,858
omogućiti,318
politički,1758
scena,112
iskaziti,8
pijetet,12
žrtva,177
srpski,2034
propustiti,65
uraditi,1086
jučo,366
rečja,25
osvrnuti,66
pogrom,16
zapravo,495
bitan,488
iako,364
stanje,423
sprovesti,200
kraj,1358
pokazivati,373
onako,208
zasluživati,108
nešto,2063
pogledajte,158
ćerak,10
unuk,17
buditi,50
malo,1558
pisati,426
pravo,2149
poštediti,2
navoditi,118
svest,81
trivijalno,2
trivijalan,2
diskutovati,31
polako,113
savetovati,21
roditeljski,90
strpljiv,20
dozvoliti,590
izneti,265
mišljenje,367
odavno,56
penzija,390
truditi,143
caka,24
disciplinovan,3
lepo,353
posavetovati,3
star,289
pazita,94
izvoliti,1563
zahvaljivati,973
makar,112
inicijativa,145
stradao,13
jako,625
prost,70
razlog,723
setiti,168
jučeti,128
uostalom,60
metohiju,90
predsednica,698
gospođa,348
osoba,190
2016.,60
postati,425
vlada,3826
ministarka,517
državni,844
uprava,289
lokalan,796
samouprava,442
2017.,64
čelo,209
momenat,232
nastaviti,872
izvinjavati,172
voditi,1172
odlučivati,169
vičeti,88
skakutiti,2
trajati,220
besomučan,9
hajka,12
moguć,586
vređanje,41
posledica,339
sedam,222
izgleda,213
namera,201
prestati,176
